tweet_id,date,user_id,followers,place,lat,lng,text,source,hashtags,urls,retweet_id
590876500708167681,Wed Apr 22 13:55:10 +0000 2015,141426478,802,"Weehawken, NJ",40.772034,-74.021665,Bruh 😍😍😍😍 https://t.co/aSbgLp44O3,Twitter for iPhone,[],['https://twitter.com/cockycolombians/status/581716425179406336'],
590876505825218560,Wed Apr 22 13:55:11 +0000 2015,18874478,494,"New Jersey, USA",40.189009,-74.67878,@TeresaKB0311 🎶Drip of honey on the money make her gotta be the best buzz I'm ever gonna finddddddd 🎶 #lukewednesday,Twitter for Android,"[{u'indices': [102, 116], u'text': u'lukewednesday'}]",[],
590876507070947328,Wed Apr 22 13:55:11 +0000 2015,83881940,1297,"Manhattan, NY",40.720756,-74.000761,Sports Media Guy Growing stronger and loud  http://t.co/FMacERCRXZ  (a special post for #NIAW @RESOLVE),Squarespace 6,"[{u'indices': [88, 93], u'text': u'NIAW'}]",['http://www.sportsmediaguy.com/blog/2015/4/22/growing-stronger-and-loud'],
590876507943350272,Wed Apr 22 13:55:12 +0000 2015,620702814,422,"New York, USA",43.123922,-78.809006,I am on a 24-hour champagne diet,Twitter for iPhone,[],[],
590876518403989504,Wed Apr 22 13:55:14 +0000 2015,2953499110,19,"New York, NY",45.385458,8.42747,"I donated 50$. I love you,Ansel @AnselElgort @AnsoloST http://t.co/sILwpzQSvI",Twitter for iPhone,[],[],
590876521935597568,Wed Apr 22 13:55:15 +0000 2015,23957179,1020,"Manhattan, NY",40.812312,-73.934859,who I used to play with were both home. Reminiscing. Two old ninjas. He was telling neighbor girl how I used to do all the tricks. She was,Twitter for iPhone,[],[],
590876522686328832,Wed Apr 22 13:55:15 +0000 2015,270083764,151,"Brooklyn, NY",40.712116,-73.953307,"@SportsCenter it has happened, in #semipro",Twitter for iPhone,"[{u'indices': [34, 42], u'text': u'semipro'}]",[],
590876523348918273,Wed Apr 22 13:55:15 +0000 2015,473516253,24,"New Jersey, USA",40.172573,-74.25793,"@muse I was on three different web pages to get my boyfriend tickets for Webster hall for his birthday, I'm so upset the website froze",Twitter for iPhone,[],[],
590876525039321088,Wed Apr 22 13:55:16 +0000 2015,300677618,226,"Manhattan, NY",40.776062,-73.98758,"Happy Wednesday (@ Walt Disney Corporate Travel in New York, NY) https://t.co/DWdMtOCUmO",Foursquare,[],['https://www.swarmapp.com/c/04bIWvLbasO'],
590876530978508800,Wed Apr 22 13:55:17 +0000 2015,2811977427,2323,"Queens, NY",40.735969,-73.818764,@reneemines_ I LOVE YOU OSNSHSBSKSK,Twitter for iPhone,[],[],
590876542961606656,Wed Apr 22 13:55:20 +0000 2015,1085161986,219,"Manhattan, NY",40.819146,-73.950401,"Omgosh a mouse just passed by my feet and legs, hopping down the stairs. #CCNY 😲",Twitter for iPhone,"[{u'indices': [73, 78], u'text': u'CCNY'}]",[],
590876543754313729,Wed Apr 22 13:55:20 +0000 2015,57490963,385868,"Newark, NJ",40.6925,-74.168611,See here's the thing about me... I've never succumbed to what or how the world thinks I should be… https://t.co/90XCkZC9j9,Instagram,[],['https://instagram.com/p/1x5aDNhiT1/'],
590876548057735168,Wed Apr 22 13:55:21 +0000 2015,25367892,160,"Queens, NY",40.678259,-73.750618,@TheRealBlackRob @Combat_Jack Yessir. Loved the first one and will be coppin' new joint.,Twitter for Android,[],[],
590876553929711616,Wed Apr 22 13:55:23 +0000 2015,145831085,642,"Staten Island, NY",40.615356,-74.081876,@Hate_Or_Love_Me you sharing bro ?,Twitter for Android,[],[],
590876555552788481,Wed Apr 22 13:55:23 +0000 2015,3126946092,52,"Bronx, NY",40.870741,-73.886077,Woke up feeling the urge to eat on sight,Twitter for iPhone,[],[],
590876557771694080,Wed Apr 22 13:55:23 +0000 2015,68339875,10688,"Manhattan, NY",40.727021,-73.980049,But who's @summersplashlv ready?! 3 months to get that #bod in shape! 😏 👏🏻… https://t.co/WSwte9qpFm,Instagram,"[{u'indices': [55, 59], u'text': u'bod'}]",['https://instagram.com/p/1x5acBhW5U/'],
590876571705155584,Wed Apr 22 13:55:27 +0000 2015,24011294,228,"Brooklyn, NY",40.700486,-73.925855,"That moment at the end of your set, you've rocked out so hard you just pass out. #themysterylights… https://t.co/HwiHUh79nD",Instagram,"[{u'indices': [81, 98], u'text': u'themysterylights'}]",['https://instagram.com/p/1x5a0gIf0C/'],
590876613618880515,Wed Apr 22 13:55:37 +0000 2015,267814962,301,"Staten Island, NY",40.58656,-74.14649,"I swear I'm going to give anyone who ever played me a stack when this check comes in, just to rub it in a little. 😎",Twitter for iPhone,[],[],
